Assay,Study,Value,Std.Error,p.value,n,I2,Adjusted,Lower95Ci,Upper95Ci,Ratio,RatioLower95Ci,RatioUpper95Ci
IL-2,Current study,0.8966823956662034,0.25109736386515197,4.686872403084497e-4,1,NA,NA,0.4045315624905056,1.3888332288419014,1.861779730160362,1.3236590536287256,2.6186681186016614
IL-1b,Current study,1.3282796551443894,0.4311025209024164,0.0024173061264601884,3,NA,NA,0.4833187141756532,2.173240596113126,2.5110306790405827,1.3979557683028128,4.510353770876403
CXCL8,Current study,1.0145643576359684,0.33270713884507,0.002650323244325304,3,NA,NA,0.3624583654996312,1.6666703497723057,2.020292744619994,1.2856147313573276,3.174810209007898
IL-1a,Current study,0.669154710161959,0.2377024066303285,0.005510683209959924,3,NA,NA,0.20325799316651522,1.1350514271574028,1.5901410145681054,1.1512953558864016,2.1962639154962207
CCL3,Current study,0.6171348183644955,0.22216349184094397,0.006069136878252016,1,NA,NA,0.1816943743562453,1.0525752623727456,1.5338259874335878,1.1342151833090663,2.074229118378453
IL-17A,Current study,0.6383238375609657,0.2481855760541429,0.011011752285103305,1,NA,NA,0.15188010849484557,1.1247675666270858,1.556519701352315,1.1110163966243431,2.1806641090618233
TNF,Current study,0.6865355598710341,0.2915453100201193,0.019685959012480637,2,NA,NA,0.11510675223160027,1.257964367510468,1.6094140806198831,1.0830551832383224,2.391580524228539
CXCL10,Current study,0.7388794150759237,0.3178275252005897,0.02126845281966742,2,NA,NA,0.11593746568276786,1.3618213644690795,1.6688790663950182,1.08367899323446,2.5700944243079213
CXCL9,Current study,0.5966002987182792,0.2569451699638775,0.021404955791927693,1,NA,NA,0.09298776558907929,1.1002128318474793,1.5121489956180147,1.0665767359587832,2.1438631725762054
IL-1RA,Current study,0.4782151119821614,0.2212277560880548,0.03227995771777842,1,NA,NA,0.04460871004957395,0.9118215139147487,1.3930191702829857,1.0314034025576564,1.8814194368215906
IL-6,Current study,0.8068358477048209,0.39100842075593395,0.04062340016355492,3,NA,NA,0.04045934302319032,1.5732123523864514,1.7493704721400232,1.0284412223214014,2.975665485177358
CCL4,Current study,0.41609829943467896,0.269181169828191,0.12410849329666017,2,NA,NA,-0.11149679342857538,0.9436933922979334,1.334314081372778,0.9256272270134636,1.9234460869243468
CCL20,Current study,0.5253512430650369,0.3592463602274371,0.14551088013198585,2,NA,NA,-0.17877162298073979,1.2294741091108135,1.4392839499481316,0.883454890338865,2.3448150111928405
CCL5,Current study,0.38997019852177006,0.27989224142450103,0.16551159117942071,2,NA,NA,-0.15861859467025197,0.9385589917137921,1.310366335589566,0.8958824832643674,1.9166129101998943
IL-18,Current study,0.43771755238283405,0.36472818501153514,0.23178106059919576,1,NA,NA,-0.27714969023977487,1.1525847950054429,1.354459778411886,0.8252197814382534,2.2231184135433195
IL-7,Current study,0.018368131233034473,0.18386425483513952,0.9205385723567103,1,NA,NA,-0.34200580824383897,0.37874207070990795,1.012813213043144,0.7889436645842495,1.3002076707914743
